"gene_symbol","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"Tafa1",386.668099552302,362.240176940246,329.992378045789,395.151313804738,293.880816388899,255.698261179836,218.187137199517,301.115839554703,262.098286302712,157.214247908268,239.719796778334,241.474197659,205.830495882376,299.654736953391
"Tafa2",11.306084782231,8.98116141174163,4.19837631101513,16.3444582352325,21.267690659723,23.2452964708942,11.079815560913,4.11079644443281,23.439684140893,9.49616262533161,4.95288836318871,7.01377337598754,0,8.37544295832459
"Tafa3",22.6121695644621,10.9769750587953,26.8696083904968,22.1130905535498,14.5006981770838,20.0754833157723,26.421098645254,35.9694688887871,21.3088037644482,43.2602964042885,32.6890631970455,29.0570611290912,43.793722528165,19.5427002360907
"Tafa4",0,0.997906823526847,0,0,0,0,0,0,0,0,0.990577672637742,0,0,0
"Tafa5",75.750768040948,24.9476705881712,10.0761031464363,124.987033563542,18.3675510243062,62.3396587173981,21.3073376171403,2.0553982222164,2.13088037644482,0,0,2.00393525028215,6.56905837922475,9.30604773147177
"Tafazzin",620.704054544485,505.938759528112,528.155739925704,913.366783733578,742.435746666692,764.981574769428,608.537562345527,662.86592666479,687.208921403453,579.265920145229,809.301958545035,667.310438343957,742.303596852397,536.958954105921
"Tagap",120.975107169872,61.8702230586645,93.2039541045359,97.1053106916752,120.839151475699,120.452899894634,103.127514066959,133.600884444066,142.768985221803,125.560372490496,138.680874169284,143.281370395174,133.570853710903,111.672572777661
"Tagap1",674.973261499194,573.796423527937,505.484507846222,891.253693180029,853.607766024335,830.491046641948,692.914619309403,727.610970664607,899.231518859712,759.693010026529,1158.97587698616,738.450139728974,961.272209493222,702.606603726118
"Tagln",10.1754763040079,5.98744094116108,24.3505826038878,9.61438719719556,33.8349624131956,8.45283508032517,50.2853167764511,44.1910617776527,88.4315356224598,87.5757219891693,139.671451841922,87.1711833872737,118.243050826046,48.3914482036532
"Tagln2",8322.40900820027,6855.61987762944,7585.62631874214,7202.1374494192,8238.32999100723,7759.7026037385,7788.25804581713,9807.33261730557,10656.5327626005,11123.1718218051,9134.11671939262,10543.7053193596,10940.7667305988,10328.7823771605
