"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000224296.3",-0.0280240196364675,0.53143396591119,0.677851148385466,"MRPL49P1"
"ENSG00000090612.22",-0.0280348267840178,0.531275600036869,0.677709926298152,"ZNF268"
"ENSG00000240015.2",-0.0280389956138932,0.531214517178599,0.67764720118931,"AC084024.1"
"ENSG00000231927.1",-0.0280464670461246,0.531105052555186,0.677562432075736,"AC093734.1"
"ENSG00000234553.1",-0.0280494627123378,0.531061165984994,0.677527535461816,"AC022431.1"
"ENSG00000237833.1",-0.0280521154385958,0.531022305023253,0.677493149141972,"AL391380.1"
"ENSG00000207431.2",-0.0280532709082078,0.531005378486894,0.67748674646248,"RNU6-906P"
"ENSG00000255370.1",-0.0280556549743467,0.530970455036508,0.677457381498331,"CYCSP25"
"ENSG00000261419.1",-0.0280622468115504,0.530873899291658,0.677393889595732,"AC145285.4"
"ENSG00000259434.2",-0.0280630333650654,0.530862378626362,0.677393889595732,"AC068875.1"
"ENSG00000272563.1",-0.028066064036588,0.530817989501684,0.677353995216313,"AC016745.2"
"ENSG00000287689.1",-0.02806611739403,0.530817208011791,0.677353995216313,"AC009704.3"
"ENSG00000253639.1",-0.0280705600267013,0.530752141857143,0.677315544539914,"SUMO2P18"
"ENSG00000271321.1",-0.0280816058141353,0.53059038434647,0.677124307140345,"CTAGE6"
"ENSG00000265688.2",-0.0280843464337137,0.530550253832807,0.677088281545758,"MAFG-DT"
"ENSG00000215796.3",-0.0280873441795849,0.530506360013659,0.67704745149638,"AL512637.1"
"ENSG00000249771.2",-0.0280932802758047,0.530419447485036,0.676966902792161,"AC108210.1"
"ENSG00000287758.1",-0.0280957765228183,0.53038290118405,0.676935445016694,"AC091027.3"
"ENSG00000218194.1",-0.0280995258511593,0.530328011543064,0.676895758978767,"HLFP1"
"ENSG00000239808.3",-0.0281015672458518,0.530298127020456,0.676872800587235,"RN7SL255P"
"ENSG00000091128.13",-0.0281042916271952,0.530258245402053,0.676837080581061,"LAMB4"
"ENSG00000106266.11",-0.0281072829390049,0.530214457996674,0.676796373399851,"SNX8"
"ENSG00000260616.6",-0.0281099632809525,0.530175224184241,0.676761476991564,"AC007728.1"
"ENSG00000253871.2",-0.028114381621738,0.530110553424115,0.676694108370351,"AC068075.1"
"ENSG00000226963.1",-0.0281169336659176,0.53007320125919,0.676676793125836,"AC078883.2"
"ENSG00000259772.6",-0.0281292742670515,0.529892600873155,0.676476601401917,"AC012236.1"
"ENSG00000205445.3",-0.0281320248703743,0.529852351003617,0.676455575379773,"KRTAP10-2"
"ENSG00000180259.10",-0.0281351077746691,0.52980724037994,0.676417021282499,"PRNT"
"ENSG00000224679.1",-0.0281388396241995,0.529752636663289,0.676373805154499,"MED15P4"
"ENSG00000261077.1",-0.0281394495158443,0.529743713115196,0.676373805154499,"AC016180.2"
"ENSG00000219738.2",-0.0281467374194208,0.529637087021835,0.676271804473669,"CD83P1"
"ENSG00000238423.1",-0.0281512607992419,0.529570912923907,0.676202485613157,"SNORD42B"
"ENSG00000224553.1",-0.0281536829025116,0.529535480855007,0.676187595104455,"RPS26P20"
"ENSG00000266273.1",-0.028156516776119,0.529494026673003,0.676165013007433,"AC044873.1"
"ENSG00000239519.1",-0.0281582385513354,0.529468841179138,0.676148027680741,"CADM2-AS1"
"ENSG00000230659.3",-0.0281604189148457,0.529436948496097,0.676122476111975,"AL451074.4"
"ENSG00000101457.13",-0.028167721224618,0.529330143010176,0.676016427814446,"DNTTIP1"
"ENSG00000287533.1",-0.0281689510810816,0.529312155884053,0.676008630989998,"AC011477.8"
"ENSG00000264016.3",-0.0281783753027101,0.529174333288288,0.675847783050567,"AC015908.3"
"ENSG00000147274.14",-0.0281852396885715,0.529073957943594,0.67576666133408,"RBMX"
"ENSG00000257711.2",-0.0281879366405951,0.529034524066662,0.675745070333504,"AC079385.2"
"ENSG00000284748.1",-0.0281912000537597,0.528986809589373,0.675729636669096,"AL513220.1"
"ENSG00000226946.1",-0.0282032538599936,0.528810589396676,0.675563000342017,"AC062022.1"
"ENSG00000202264.1",-0.0282049476649897,0.528785829262008,0.675548743273604,"RNA5SP77"
"ENSG00000237752.2",-0.0282082560991585,0.528737468086187,0.675517297429374,"NCKAP1P1"
"ENSG00000266308.2",-0.0282089856728912,0.528726803813511,0.675517297429374,"RN7SL510P"
"ENSG00000265994.2",-0.028210546468893,0.528703989825071,0.675504864091216,"AC090365.1"
"ENSG00000227212.3",-0.0282150179723576,0.528638633102729,0.675436528770966,"PFN1P6"
"ENSG00000285662.2",-0.0282208312501223,0.528553670770732,0.675367435212207,"FAM245B"
"ENSG00000171861.11",-0.0282227865472811,0.528525095231096,0.675352130154135,"MRM3"
"ENSG00000251434.1",-0.028223714622232,0.528511532225742,0.675349967498127,"AC104071.1"
"ENSG00000235695.1",-0.0282244841472874,0.528500286422727,0.675349967498127,"HIGD2AP2"
"ENSG00000199762.1",-0.0282269161522774,0.528464746014748,0.67533568721961,"Y_RNA"
"ENSG00000253739.1",-0.0282294130919747,0.528428257937881,0.675304226933666,"RNU6-323P"
"ENSG00000225912.1",-0.0282371850786887,0.528314693159472,0.675174262948062,"RPL26P36"
"ENSG00000213621.3",-0.0282381092309891,0.528301190210164,0.675172172757078,"RPSAP54"
"ENSG00000288659.1",-0.0282457111948904,0.528190123250107,0.675060556712756,"AC007511.1"
"ENSG00000258410.1",-0.02824920479595,0.528139084674641,0.675010489832285,"AC087386.1"
"ENSG00000088179.9",-0.0282597514200513,0.52798502255847,0.674856701159463,"PTPN4"
"ENSG00000112462.8",-0.0282709974037291,0.527820769553889,0.674694595179056,"OR12D3"
"ENSG00000227702.1",-0.0282798704622273,0.527691192594005,0.674559273362035,"LINC00111"
"ENSG00000237003.1",-0.0282808910727205,0.527676289231907,0.674555378570293,"AC126124.2"
"ENSG00000259109.1",-0.0282827100728385,0.527649727996091,0.674536580417077,"AC004858.1"
