"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","MYC",13.6545942753779
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","MYC",13.8039320443818
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","MYC",13.8767824657197
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","MYC",13.5654464123657
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","MYC",13.7227036727689
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","MYC",14.2988687719654
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","MYC",13.9185730688401
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","MYC",14.0405623666709
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","MYC",13.8903803205218
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","MYC",13.9739689374108
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","MYC",14.1850903943969
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","PTEN",10.9488607358029
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","PTEN",11.1734899477744
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","PTEN",10.8275338536291
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","PTEN",10.9368595234794
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","PTEN",11.0574276863872
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","PTEN",10.9820517715267
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","PTEN",11.0769518277221
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","PTEN",11.053799136486
