"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000255343.1",0.11755868993924,0.00844139574280134,0.0255171973910113,"IGHVIII-13-1"
"ENSG00000279319.1",0.117551069115021,0.00844567118593115,0.0255287671659616,"AL354798.1"
"ENSG00000269332.5",0.117545404155779,0.00844885059851363,0.025532089319327,"MIR4520-1"
"ENSG00000180304.14",0.117545119021059,0.00844901065627541,0.025532089319327,"RPA3P1"
"ENSG00000286115.1",0.117542017869619,0.00845075163382837,0.0255359961206541,"H4C2"
"ENSG00000272865.2",0.117537669103032,0.00845319355772175,0.0255420204747345,"SINHCAFP2"
"ENSG00000004838.14",0.117536787129932,0.00845368888089481,0.0255421626874313,"SLC22A16"
"ENSG00000121542.12",0.117534214620191,0.00845513377083679,0.0255451737749762,"A1BG"
"ENSG00000272056.1",0.11751477949854,0.0084660569254361,0.0255754633479098,"AC092067.1"
"ENSG00000207005.1",0.11750942452092,0.00846906880269816,0.0255818495253681,"TMEM191C"
"ENSG00000258909.1",0.117506607504278,0.00847065360140889,0.0255852803001262,"AC136475.6"
"ENSG00000285658.1",0.117505639994728,0.00847119796443826,0.0255855682821826,"MIR8067"
"ENSG00000237063.1",0.117502173246617,0.00847314876409306,0.0255873914742057,"LURAP1L-AS1"
"ENSG00000206631.1",0.117499911233579,0.00847442185422017,0.0255898797920148,"REXO1L1P"
"ENSG00000287501.1",0.117497058524819,0.00847602763867417,0.0255920162610901,"AC005252.3"
"ENSG00000249114.1",0.117484852086413,0.00848290168433064,0.0256093069898614,"HLA-L"
"ENSG00000248243.1",0.117484495441702,0.00848310260321218,0.0256093069898614,"RPL12P36"
"ENSG00000285637.2",0.117482862401049,0.00848402264497422,0.0256107276082473,"SNORA50C"
"ENSG00000225683.6",0.117471753978443,0.00849028340058556,0.0256269116669544,"AC108043.1"
"ENSG00000145919.11",0.117466705731344,0.00849312997575732,0.0256341458312743,"COMMD10"
"ENSG00000235197.1",0.117460513325,0.0084966228744881,0.0256433298734749,"PIRT"
"ENSG00000246731.3",0.117452782434511,0.00850098537045645,0.0256551373017308,"AC112493.1"
"ENSG00000199248.1",0.117450648195561,0.00850219006059288,0.0256554765982402,"MFAP3L"
"ENSG00000239946.1",0.117450453175668,0.00850230014889264,0.0256554765982402,"AL645634.2"
"ENSG00000275628.2",0.117448781760848,0.00850324371099212,0.0256565173363009,"DDX43P2"
"ENSG00000287190.1",0.117442931638776,0.0085065470096448,0.0256644385040668,"DNM1P41"
"ENSG00000266166.2",0.117442537149668,0.00850676980092153,0.0256644385040668,"AL365475.1"
