"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000232809.1",0.0408098626293805,0.362007524467723,0.524127216985856,"VDAC1P10"
"ENSG00000205329.2",0.0408004413623966,0.362118450976462,0.52426117828878,"OR6C3"
"ENSG00000137073.23",0.040792234059181,0.362215101512091,0.524361136639325,"UBAP2"
"ENSG00000253670.1",0.0407914173406043,0.362224720204037,0.524361739290336,"AC073581.1"
"ENSG00000252919.1",0.0407770984073349,0.362393383655764,0.524525944779747,"Y_RNA"
"ENSG00000250299.6",0.0407740058768439,0.362429817170191,0.524552826401315,"MRPS31P4"
"ENSG00000282907.1",0.0407739591582232,0.362430367586033,0.524552826401315,"Z98883.1"
"ENSG00000261405.2",0.0407709713969176,0.362465569006305,0.524588239499241,"AC136944.3"
"ENSG00000278955.3",0.0407703196258186,0.362473248373389,0.524588239499241,"FP475955.1"
"ENSG00000233934.2",0.0407658003368502,0.362526498817069,0.524651980522068,"RPL21P38"
"ENSG00000078319.10",0.0407548690660533,0.362655321357035,0.524811755333211,"PMS2P1"
"ENSG00000158874.11",0.0407505491798271,0.362706238110913,0.524872108741313,"APOA2"
"ENSG00000103126.15",0.0407219055964909,0.363043961341206,0.525288250016828,"AXIN1"
"ENSG00000187608.10",0.0407206866374898,0.363058337874252,0.525288250016828,"ISG15"
"ENSG00000228780.2",0.0407085459031236,0.363201546385521,0.525415403147919,"Z92545.1"
"ENSG00000213376.4",0.0407074514110925,0.363214458421414,0.525420742709078,"GAPDHP71"
"ENSG00000010539.12",0.040705881460028,0.363232980083702,0.525421806992315,"ZNF200"
"ENSG00000222051.1",0.040705825851445,0.363233636142596,0.525421806992315,"RNU6-1165P"
"ENSG00000114120.14",0.0407000982904636,0.363301212716214,0.525492877133131,"SLC25A36"
"ENSG00000198276.16",0.040688073680636,0.363443110476555,0.525658092699052,"UCKL1"
"ENSG00000106144.20",0.0406787715571728,0.363552904943006,0.525766026402421,"CASP2"
"ENSG00000249353.2",0.0406773154748102,0.363570093190768,0.52577502360548,"NPM1P27"
"ENSG00000133243.10",0.0406639709289675,0.363727641787398,0.525962815802251,"BTBD2"
"ENSG00000279431.1",0.0406602896656657,0.363771111069664,0.526010088804576,"AC011840.5"
"ENSG00000275206.1",0.0406596388919626,0.363778795906037,0.526010088804576,"AL353997.5"
"ENSG00000274818.1",0.0406583259934275,0.363794299929763,0.526019158655547,"AC004825.2"
"ENSG00000283535.1",0.0406572535441865,0.363806964792605,0.52602136302766,"AC007064.4"
"ENSG00000226808.3",0.0406566334731929,0.363814287515489,0.52602136302766,"LINC00840"
"ENSG00000267041.6",0.0406494393882271,0.363899252716274,0.526130859887493,"ZNF850"
"ENSG00000172264.17",0.0406476583604416,0.363920289321659,0.526134575034569,"MACROD2"
"ENSG00000226046.1",0.0406199688771082,0.364247441103787,0.526527396472129,"AP1S2P1"
"ENSG00000253832.1",0.0406179023226819,0.364271864832522,0.526544949052175,"AC107373.1"
"ENSG00000196502.12",0.0406171840270289,0.364280354302683,0.526544949052175,"SULT1A1"
"ENSG00000105750.15",0.0406152962916964,0.36430266586053,0.526544949052175,"ZNF85"
"ENSG00000219453.1",0.0405936095527629,0.364559047271228,0.526857539630767,"AL133270.1"
"ENSG00000251792.1",0.0405882974670865,0.364621864075852,0.5269097041434,"Y_RNA"
"ENSG00000237381.2",0.0405870067424001,0.364637128251595,0.5269097041434,"NT5DC1P1"
"ENSG00000204044.6",0.0405858654828493,0.364650625176652,0.5269097041434,"SLC12A5-AS1"
"ENSG00000130818.12",0.0405691727782892,0.364848074365593,0.527154908472396,"ZNF426"
"ENSG00000164500.7",0.0405654346321277,0.364892300047018,0.52720026890435,"SPATA48"
"ENSG00000253562.1",0.0405498502716705,0.365076713230305,0.52737827852899,"AC107909.2"
"ENSG00000223615.2",0.0405481127651205,0.36509727712478,0.527394614101483,"AL807761.1"
"ENSG00000254195.1",0.0405431759730849,0.365155709427759,0.527452278414701,"TPM3P3"
"ENSG00000226307.1",0.0405366998586426,0.365232370114312,0.527524646885295,"HNRNPDLP1"
"ENSG00000232795.1",0.040536597327592,0.365233583901156,0.527524646885295,"SCAND3P1"
"ENSG00000278057.4",0.0405343119466468,0.365260639433542,0.527550352214404,"TEX28"
"ENSG00000144152.13",0.0405211423903545,0.36541657182518,0.527727318671605,"FBLN7"
"ENSG00000233352.1",0.0405160465773848,0.365476919242624,0.527795836869604,"AL035660.1"
"ENSG00000265031.1",0.0405126972512412,0.365516587181655,0.527836614473706,"AC234063.1"
"ENSG00000006042.12",0.0405066338083043,0.365588406737343,0.52788407330415,"TMEM98"
"ENSG00000141380.14",0.040502739871581,0.365634533811767,0.527929793511258,"SS18"
"ENSG00000287660.1",0.0404914735714741,0.365768013354311,0.528057129295021,"AC079768.3"
"ENSG00000286256.2",0.0404895208434236,0.365791151738268,0.5280712371498,"AC084871.3"
"ENSG00000201415.1",0.0404889962809859,0.365797367570589,0.5280712371498,"RNA5SP204"
"ENSG00000183891.6",0.0404788405876366,0.365917720987089,0.528151316165087,"TTC32"
"ENSG00000267618.5",0.0404772754125806,0.365936271804575,0.528164712978963,"AC004223.3"
"ENSG00000277975.1",0.0404680917113967,0.36604513094708,0.528295068678493,"CSTP2"
"ENSG00000233412.5",0.0404621782673978,0.36611523670646,0.528315959753104,"OR5H15"
"ENSG00000271141.1",0.040453393244311,0.366219401367636,0.528399364664471,"AC010680.4"
"ENSG00000230021.10",0.0404519937117696,0.366235997429244,0.528409930101935,"AL669831.3"
"ENSG00000258828.2",0.0404479901005845,0.36628347599135,0.528465051538541,"KRT8P2"
"ENSG00000271494.1",0.0404389901332464,0.366390219986211,0.528605674769827,"AC034205.3"
"ENSG00000213122.4",0.0404372216245536,0.366411197634189,0.528609171643258,"RPL23AP46"
"ENSG00000239261.1",0.0404329036445087,0.366462419669401,0.528616281860201,"RPL31P41"
"ENSG00000171385.10",0.0404304249540968,0.366491825143995,0.528645183619725,"KCND3"
"ENSG00000229372.1",0.0404234015247145,0.366575154236864,0.528685080958029,"SZT2-AS1"
"ENSG00000249158.7",0.0404101952334021,0.366731871450527,0.528844175915434,"PCDHA11"
"ENSG00000198090.3",0.0404049395965744,0.366794250941578,0.52890735937094,"KRTAP4-6"
"ENSG00000248546.3",0.0403935974239491,0.366928894389489,0.529034572283279,"ANP32C"
"ENSG00000255527.1",0.0403915885186993,0.366952745396835,0.529042187725048,"AC027369.5"
"ENSG00000277533.1",0.0403895901604204,0.366976472139681,0.529063008779252,"MIR8077"
