"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.42776283469922,-3.02749659563228,10.3211526700077,8.61134627166876e-23,4.9459379035383e-21,40.9842572866444,"AC022509.1"
1.68425038059514,-2.83875795749922,10.3182715485862,8.82743504155073e-23,5.05994907013192e-21,40.9573484100756,"ANKRD36BP2"
1.78449747261857,-4.38885267479065,10.3165992948442,8.95531710520218e-23,5.12814427268045e-21,40.9444927677697,"IGKV5-2"
1.45661158277135,-4.98973525608007,10.3019619328327,1.0156149547376e-22,5.80423442355006e-21,40.8086838069693,"IGKV2D-28"
1.16114603492454,-4.80616739372324,10.2942114804533,1.0855384234488e-22,6.19769209022606e-21,40.7554983979317,"IL2"
1.17837024539822,-3.76446775911643,10.2928474601858,1.09832984258843e-22,6.2645076750212e-21,40.751108605044,"DPEP3"
1.09283754430341,-2.99696573659123,10.2890612594541,1.13462534142299e-22,6.46511766325675e-21,40.7127778688415,"APOBEC3D"
1.10614549588554,-1.67219148853845,10.2703965642612,1.33170959487094e-22,7.57311138189946e-21,40.5306457317038,"MIR223HG"
1.53962936072171,-4.59954265131865,10.2511292746211,1.57082525928696e-22,8.90650183960243e-21,40.3899659468983,"AC022239.1"
1.37803183326829,4.49539327732783,10.2450707675314,1.65448039116518e-22,9.37158922357837e-21,39.9400390602844,"CCL2"
1.26427971609474,0.701648789157729,10.2220559299356,2.01457986315127e-22,1.13554428133551e-20,40.0308065117158,"IGHV3-74"
1.31414283921794,-5.30114336406869,10.2085060954203,2.26192404139917e-22,1.27247046512729e-20,39.9992800533561,"IGKV1OR2-6"
1.01414115000574,4.48724345268645,10.1935835225912,2.56931523516376e-22,1.44398527132494e-20,39.5028568103593,"SPOCK2"
1.1891159182647,-3.8560626602235,10.1925274202379,2.59257848939536e-22,1.45563797136296e-20,39.9068953254996,"CDX1"
2.15858329425793,-3.54209283790939,10.1915842386521,2.61353106029382e-22,1.4659718569192e-20,39.8940983652854,"IGLV4-60"
1.08219661866617,2.37667954426228,10.1887940034735,2.67650472642814e-22,1.49983297960992e-20,39.6417679415141,"PADI2"
1.07967196797918,1.95032498936041,10.1691785272549,3.16380616240682e-22,1.76945621619546e-20,39.5070995912175,"SNCAIP"
1.136671281146,-5.15013248866315,10.1589702019146,3.4512684043805e-22,1.92835433662231e-20,39.6032895907465,"TRBV5-5"
1.27053059715383,-2.03938339218904,10.153643860511,3.61139933556896e-22,2.01391503645343e-20,39.5565790947984,"NPFFR1"
1.25529496887664,-2.93191441875306,10.1483234794183,3.7787105152577e-22,2.10314110399498e-20,39.5280579326075,"AC016583.2"
1.11432013836292,-1.49488594467746,10.1424604258233,3.9720085627832e-22,2.20859026848476e-20,39.4491602005797,"AC005083.1"
1.07800039326921,-3.36876362253202,10.1241775667392,4.6400387255439e-22,2.57010807175218e-20,39.3313893824817,"ARRDC5"
1.16251005569163,-4.68110222712283,10.1173420175757,4.91747833733476e-22,2.71854830272445e-20,39.2717911322619,"TRAV22"
2.07480643883586,-2.6819096648804,10.10813607616,5.31730889899407e-22,2.93676705505863e-20,39.1874769171628,"IGHV2-26"
2.05586381812864,-2.78818323261168,10.1029045645802,5.55873078345025e-22,3.06716161637164e-20,39.1453747448799,"IGHV1-69"
1.07126347199741,-1.34942102429618,10.0701875815562,7.33544786460234e-22,4.02435676461263e-20,38.8404620258072,"ADAMTS14"
1.15726053047959,-5.43909136812611,10.065577555041,7.62743682463256e-22,4.18056180245337e-20,38.7899048006989,"IGHV3OR16-8"
1.3366682604365,-3.54100535112728,10.0296849230427,1.03321547150579e-21,5.63082863495818e-20,38.545289330162,"CASP1P2"
1.33346557542498,-4.30522315029309,10.0272338035416,1.05482705869129e-21,5.74316908492749e-20,38.5261120384119,"TTC24"
1.55450548818173,-2.44088128450884,10.0065290493617,1.25622206379781e-21,6.82033771429848e-20,38.3376478680481,"SLC5A5"
1.2116698764668,0.942145807849076,9.990257126019,1.44089776832801e-21,7.80090936663001e-20,38.0741473693855,"CD207"
1.11194059538011,-4.85763820029715,9.97918411342392,1.58172919487986e-21,8.55531157568944e-20,38.1186627943923,"CASP5"
1.34060553301813,-0.637032789996282,9.97480106205943,1.64117474295454e-21,8.86018822298628e-20,38.0223863076976,"NCCRP1"
1.4101090583629,2.58388881879966,9.96927541515043,1.719284918016e-21,9.24718196559074e-20,37.7879150281746,"CCL21"
1.69037381822395,-1.83412594525067,9.95778174157969,1.89376970739608e-21,1.01571711706099e-19,37.9199046999385,"IGHV3-72"
1.15751525090155,-4.6547121265553,9.95471097762851,1.94328914200751e-21,1.04033758253518e-19,37.9210214871907,"CR1L"
1.04633928227795,-5.72765596376915,9.94365809369345,2.13240084950824e-21,1.14051736885873e-19,37.7350454528126,"IGKJ5"
1.15811067145491,-0.84801367316881,9.94239291827789,2.15517996652708e-21,1.15163052064655e-19,37.7616420260195,"CLEC4E"
1.09950191994664,-0.838592710328676,9.93123994465284,2.36672126243044e-21,1.25882447923172e-19,37.668979053202,"KIF19"
1.18566168306283,-4.71203954820189,9.91624308582484,2.68397425698247e-21,1.42361952524739e-19,37.6017437891788,"CARD17"
1.23294983976966,-3.95080965556804,9.91559714916684,2.6985481953593e-21,1.43003175545974e-19,37.6041508904207,"GPR25"
1.50619434081805,-4.56295878314656,9.90904409793413,2.85091280863559e-21,1.50938392030338e-19,37.5407202442356,"IGLC6"
1.01646463593451,-2.952190151936,9.90556617082883,2.93521377380234e-21,1.55116209992952e-19,37.5120228653815,"IL12A"
1.00267613839543,3.916090225872,9.89449973983433,3.22025232071827e-21,1.69867572004891e-19,37.0526297622202,"SECTM1"
1.56853672212967,-4.97832502833565,9.88144919057401,3.59185371808036e-21,1.88949891659529e-19,37.2948489719778,"IGLV5-37"
1.23974460160661,-1.32527332201177,9.87505542205042,3.78913503308955e-21,1.98964161637138e-19,37.2219984611275,"CD300E"
1.13628990921217,-0.558062768811241,9.8679520800523,4.02093480153808e-21,2.10943297929368e-19,37.1356755387273,"AC008105.3"
1.06470079818591,4.53342954445602,9.85995640695114,4.29871619070636e-21,2.24901015250137e-19,36.7092184182292,"ACKR1"
1.00752228161326,1.49458653914464,9.84847613207363,4.73115404278915e-21,2.46852144299651e-19,36.8648135478576,"SLFN13"
1.73167421814488,1.35877697883642,9.84833939088638,4.73655658246175e-21,2.46910173297712e-19,36.8747285181196,"CXCL1"
1.08333191419644,-3.25599165086145,9.84531121186617,4.85777847191155e-21,2.52771384320533e-19,37.0209692106739,"SH2D1B"
1.64702736238628,-1.05530673375989,9.83874271268047,5.13140343623951e-21,2.66768082886706e-19,36.9143864787043,"MUC16"
1.02914669563342,2.57936069570287,9.81269388143965,6.37545287104867e-21,3.30249606416608e-19,36.490899195827,"HGF"
1.19971673564993,-5.57801671367499,9.78838865937555,7.80416848728268e-21,4.03530904261562e-19,36.4745638036054,"FCRL4"
1.28972121755814,-2.51250508841022,9.76242014674543,9.68261116175115e-21,4.99761679245542e-19,36.3298456612674,"HLA-DQB1-AS1"
1.2207185093327,-4.26078043997587,9.74522859514794,1.11663174652304e-20,5.74282010834684e-19,36.2084846705894,"TRAV5"
1.07137223492831,-2.02415909716437,9.74108567031099,1.15563422030542e-20,5.93280547534141e-19,36.1443055235728,"MICB-DT"
1.0070240020401,-0.0761684170318693,9.72811198182445,1.28672450110086e-20,6.59403339611351e-19,35.9674444222086,"LINC01679"
1.16615511396031,-4.80020624732844,9.71843476625373,1.39401266286871e-20,7.13749366086249e-19,35.9801994126224,"TRAV8-1"
1.14149108212314,-5.43551553598902,9.70218372779829,1.59449518274064e-20,8.10628955536431e-19,35.795036807618,"IGHV3-19"
1.11857028531507,-3.13621569366277,9.69696426727911,1.66476210394593e-20,8.45605111051088e-19,35.8084638902816,"RNASE2"
1.12604167691945,-5.16512119560701,9.68546025338543,1.83066245878699e-20,9.25787561539468e-19,35.6945555215844,"TRBJ1-5"
1.17167635861584,-4.6226093039241,9.67752057612145,1.95462197251619e-20,9.86741179985145e-19,35.652460847927,"LINC00944"
1.05740273473513,2.87842031521179,9.67375769976458,2.01624299156937e-20,1.01695691643135e-18,35.3286178525507,"F13A1"
1.02698705262928,0.965466386056406,9.65340615744056,2.38445638544139e-20,1.19847567670002e-18,35.3018563451469,"C16orf54"
1.16755249756202,-4.66187013128019,9.63622934369577,2.7465811242315e-20,1.37687930051849e-18,35.3173187213452,"CLEC4D"
1.2058226531352,-4.7787099554331,9.63467726823087,2.78187191353214e-20,1.39335708114686e-18,35.3013437516453,"DAZL"
1.38028161593876,-4.82242861444383,9.63152583855317,2.85491766932017e-20,1.4271004587351e-18,35.2685597121345,"IGHV1OR15-2"
1.28014709441091,-2.83678337770102,9.59950780108509,3.71379178490575e-20,1.84567113317207e-18,35.0144182267095,"APOBEC3A"
1.11547261487274,-5.6388196914406,9.59533618323968,3.84309360403138e-20,1.90828332106994e-18,34.8960577850989,"IL21"
1.00938424883785,-2.79758641738049,9.59453703679732,3.86836828623256e-20,1.91917754200589e-18,34.973769119934,"TREML1"
1.11841624485482,4.1468993463775,9.59053431519108,3.99746413529025e-20,1.97981119609255e-18,34.5397586148214,"DUSP5"
1.10354662164379,-2.73409240306108,9.59039216347301,4.00212651910436e-20,1.98041600321974e-18,34.9390131263534,"LINC02362"
1.12078836998933,0.132830470461446,9.5716366607982,4.66701968609036e-20,2.29954608676798e-18,34.6867244015532,"MIAT"
1.02329020412665,-4.21714519988453,9.57048290365089,4.7113228136005e-20,2.31938946041667e-18,34.7957037123789,"AC010247.1"
1.08670340802469,-5.13089317529245,9.57023423353519,4.72092597919352e-20,2.3221306846375e-18,34.7663212508757,"KLHDC7B-DT"
1.20561219177859,-5.20543007744095,9.56850052751057,4.78841984093404e-20,2.35331820534376e-18,34.7414049001488,"IGHV3-63"
1.99213499552015,-1.66289745111816,9.56130694746464,5.07883903005336e-20,2.49179186853854e-18,34.6772125669188,"LINC02009"
1.00871976577432,-1.01862900558505,9.54477138969433,5.8142952133781e-20,2.83570075872805e-18,34.5214847329428,"CCL11"
1.14886407412927,-1.86986141168164,9.51899007996177,7.17683462772684e-20,3.476656841967e-18,34.3430181822426,"WDR86-AS1"
1.36131877787286,-1.17649404905211,9.51848492364691,7.20647454482018e-20,3.48807914259379e-18,34.3161505072351,"HLA-DPB2"
1.10640620872289,-3.66233014626682,9.51689650744482,7.30046740262774e-20,3.53060419345569e-18,34.3626810104187,"AC099063.4"
1.67025377956252,0.71090250374579,9.51436276596852,7.45292035483489e-20,3.59828495319419e-18,34.1941855705468,"B3GNT3"
1.13673915680847,-2.34625800911796,9.51300678795718,7.53580041927764e-20,3.63220531096673e-18,34.3079699610186,"GPR141"
1.06425485767698,-4.19351193160709,9.50619317965357,7.96629449676466e-20,3.83327966796661e-18,34.2797232856354,"CCR9"
2.09124813072668,-1.84368897786372,9.48902916521586,9.16183118242702e-20,4.39386153790562e-18,34.1021058746736,"SAA2"
1.210555295995,-5.0421513592341,9.48774704473745,9.25796258376204e-20,4.43257692758324e-18,34.1065966277883,"CXCR5"
1.08654041319837,-3.79681178161867,9.47891594246291,9.94781939980461e-20,4.74707302204607e-18,34.0600024141779,"INSL3"
1.23454495123937,-2.5987131849876,9.4775519249595,1.00588213251409e-19,4.79209575547895e-18,34.0299885939434,"CACNA1I"
1.05978077892529,-5.14443222668317,9.46881164659544,1.07998112917543e-19,5.13236283931014e-18,33.9496778412907,"TRAV26-2"
1.01292445188816,-1.1160092576948,9.44754568479108,1.28363935775881e-19,6.06514327085545e-18,33.7453636129968,"MIR155HG"
1.02507818666105,3.54162809098145,9.44378333507803,1.32344157843646e-19,6.24295597041133e-18,33.4112903175504,"IFIT1"
1.12037576941404,-5.48487973411494,9.43628362839727,1.40646677928021e-19,6.61832895728341e-18,33.6459558450353,"AC134879.2"
1.19008097371873,-5.23540880837566,9.42700706527463,1.5163347362651e-19,7.12949869869744e-18,33.6038994621756,"IGHV3-35"
1.22900768227355,-5.28410692021469,9.41566900944389,1.66222638020429e-19,7.77732749437046e-18,33.5052930781156,"IGKV2OR22-4"
1.09328909521317,-2.26118415602089,9.38007178788603,2.21683434433442e-19,1.03219107213953e-17,33.2448060069079,"AL590764.1"
1.50995334526511,-0.0816427619690809,9.36825824890848,2.43870642558214e-19,1.13183511929235e-17,33.0681374327087,"BMP3"
1.22118464474524,-2.77838588761474,9.35217360537339,2.7765524538955e-19,1.28345858410993e-17,33.0360507535323,"AC024940.1"
1.96422757313734,-3.06238953825593,9.33534966105881,3.17959111301057e-19,1.46271357756801e-17,32.9070451337956,"IGLV10-54"
1.60549323880538,1.26539744903818,9.3349253479284,3.19047222887476e-19,1.46654693907142e-17,32.7246075992229,"PROM1"
1.65184570115146,-1.84617322015415,9.32037846559208,3.58668369317144e-19,1.64342075272306e-17,32.7596568144166,"MYBPC2"
1.080884526521,-4.68900989588342,9.27408209442961,5.20147635985754e-19,2.36262797561011e-17,32.4286813146465,"C10orf105"
1.45980189143928,-1.98992802827816,9.26038528858856,5.8047158953149e-19,2.62833516739082e-17,32.2906101696805,"CCL24"
1.14011081797769,-4.42087035111171,9.25362179695419,6.12766257930039e-19,2.77020409614091e-17,32.2740518976972,"ENTHD1"
1.05020522726691,4.92897806252503,9.24672590360033,6.47525458635869e-19,2.91817463934959e-17,31.7084265110238,"SFRP2"
1.11297606282121,-3.89905816930437,9.24216079879712,6.71603591594638e-19,3.02195361190551e-17,32.185590636921,"OR52N4"
1.37623244003192,-5.00271622572221,9.22727811026568,7.56429016884886e-19,3.39302337659588e-17,32.0386849611662,"IGLV3-16"
1.09013903629794,-5.44935327265468,9.2187675651998,8.09619524268511e-19,3.62878532878916e-17,31.9295809101905,"IGHV3-6"
1.08769263862246,-4.65315711316529,9.21702173371301,8.20980476429506e-19,3.67684252284187e-17,31.9821295022689,"MDS2"
1.12817592510844,-5.2004389232873,9.20501805922522,9.03486515644191e-19,4.03692926827043e-17,31.8535891780138,"CLEC4C"
2.03900678508938,-1.49065849573526,9.18413391965325,1.06706088513612e-18,4.75304597055602e-17,31.6756154231865,"IGLV8-61"
1.26964455403699,-4.98132238034767,9.18073738431877,1.09630614479752e-18,4.87576650951292e-17,31.6793652145442,"IGHJ2"
1.36804542277088,-1.68024251216963,9.17405790168815,1.15615397322783e-18,5.13004326594152e-17,31.603123559865,"AC004687.1"
1.04577469811456,-4.65807703572037,9.16827197350264,1.21060382493456e-18,5.36337568321661e-17,31.6014095128481,"AL031846.1"
1.247628381284,-2.46016974888396,9.1663347131699,1.2293965231215e-18,5.43777613709051e-17,31.5663678392224,"CCNI2"
1.11722631866366,-5.36484624920578,9.14925267000671,1.40811777188043e-18,6.19076988324817e-17,31.3996065920509,"IGHV1-12"
1.44378365687621,0.923139200383028,9.14642081655393,1.44013704363948e-18,6.32670892072154e-17,31.2602623712967,"CEACAM6"
1.65741527802408,-1.64080430233695,9.14332397739377,1.47597836447528e-18,6.474280097222e-17,31.3616935327564,"IGHV3-73"
1.00110679019789,-3.01023328005822,9.13021082452344,1.63779299079488e-18,7.1676795908932e-17,31.2979332301598,"OTOF"
1.04057689903707,0.77221353073496,9.12404794224623,1.71979453247709e-18,7.5151234126087e-17,31.0940244953203,"FUT2"
1.0726229863711,2.55263649836172,9.12133476085578,1.75717227948791e-18,7.66681309207956e-17,30.9423095876853,"IER3"
2.68647595866661,6.84983064740545,9.10600635051122,1.9839598399287e-18,8.64321641089303e-17,30.4053271529677,"LTF"
1.29726508022691,-3.98780464123025,9.09407537458549,2.18033905646324e-18,9.4700764301479e-17,31.029246047121,"AC019117.1"
1.08798075884054,1.9014229061261,9.09295274378765,2.19977935991192e-18,9.54011319991943e-17,30.7724896984406,"RGS16"
1.16102753338098,-0.884266478441862,9.07594263036631,2.51623327779026e-18,1.08552642531356e-16,30.8072463338902,"CCL23"
1.1221912956321,1.63775955764838,9.05923126755515,2.87093457172293e-18,1.23576877040131e-16,30.5297293029037,"MACC1"
1.15141890329046,-3.60010225789909,9.04655416687415,3.17263803338886e-18,1.36257700613081e-16,30.6588129884556,"TRBV30"
1.03025254870511,-2.44760352020753,9.03214356436067,3.55386120247818e-18,1.52062983050275e-16,30.5232607099231,"AC110995.1"
1.9641854451323,-2.86718311582015,9.02847491979021,3.65794656443601e-18,1.55936907246883e-16,30.5042916720132,"IGHV3-64D"
