"sample_full","sample","PIP5K1A","subtype_code","subtype","median_cutoff","expr_group"
"TCGA-FB-A4P6-01A-12R-A26U-07","TCGA-FB-A4P6",11.0473627891331,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-A9TJ-01A-11R-A41I-07","TCGA-HZ-A9TJ",11.438918528189,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-8317-01A-11R-2404-07","TCGA-HZ-8317",11.2327573321916,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AABH-01A-21R-A41B-07","TCGA-2J-AABH",11.5241555112155,2,"Classical-like",11.2043363275436,"High"
"TCGA-3A-A9J0-01A-11R-A41B-07","TCGA-3A-A9J0",11.090333088321,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-7891-01A-11R-2204-07","TCGA-IB-7891",11.2879504235417,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-A5SP-01A-11R-A32O-07","TCGA-IB-A5SP",10.9449548588383,2,"Classical-like",11.2043363275436,"Low"
"TCGA-YY-A8LH-01A-11R-A36G-07","TCGA-YY-A8LH",11.5473211903583,2,"Classical-like",11.2043363275436,"High"
"TCGA-2L-AAQJ-01A-12R-A39D-07","TCGA-2L-AAQJ",11.1544917950467,2,"Classical-like",11.2043363275436,"Low"
"TCGA-XD-AAUG-01A-61R-A41B-07","TCGA-XD-AAUG",11.242222122997,2,"Classical-like",11.2043363275436,"High"
"TCGA-HV-A7OL-01A-11R-A33R-07","TCGA-HV-A7OL",10.5166291232254,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-8637-01A-11R-2404-07","TCGA-HZ-8637",11.1616939757864,2,"Classical-like",11.2043363275436,"Low"
"TCGA-FB-A78T-01A-12R-A32O-07","TCGA-FB-A78T",11.4152301203685,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-7647-01A-11R-2156-07","TCGA-IB-7647",11.3744602484387,2,"Classical-like",11.2043363275436,"High"
"TCGA-2L-AAQA-01A-21R-A38C-07","TCGA-2L-AAQA",11.6724893040625,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AABK-01A-31R-A41B-07","TCGA-2J-AABK",11.3800520676664,2,"Classical-like",11.2043363275436,"High"
"TCGA-HV-A5A4-01A-11R-A26U-07","TCGA-HV-A5A4",11.4854337802529,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-7651-01A-11R-2156-07","TCGA-IB-7651",11.6648768266657,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-8636-01A-21R-2404-07","TCGA-HZ-8636",11.6175481339656,2,"Classical-like",11.2043363275436,"High"
"TCGA-US-A774-01A-21R-A32O-07","TCGA-US-A774",11.2043363275436,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-A49I-01A-12R-A26U-07","TCGA-HZ-A49I",10.8891658023181,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-7926-01A-11R-2156-07","TCGA-HZ-7926",11.8162030115881,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AAB8-01A-12R-A41B-07","TCGA-2J-AAB8",11.5677931628658,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AABT-01A-11R-A41B-07","TCGA-2J-AABT",11.2168420959172,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AAB4-01A-12R-A41B-07","TCGA-2J-AAB4",11.1208130181651,2,"Classical-like",11.2043363275436,"Low"
"TCGA-3A-A9I9-01A-11R-A38C-07","TCGA-3A-A9I9",10.7250644024607,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-8126-01A-11R-2404-07","TCGA-IB-8126",11.3080575241376,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-A4BK-01A-11R-A26U-07","TCGA-HZ-A4BK",11.0803347517434,2,"Classical-like",11.2043363275436,"Low"
"TCGA-FB-AAQ3-01A-11R-A41B-07","TCGA-FB-AAQ3",10.7647988942267,2,"Classical-like",11.2043363275436,"Low"
"TCGA-H6-A45N-01A-11R-A26U-07","TCGA-H6-A45N",11.0751302064801,2,"Classical-like",11.2043363275436,"Low"
"TCGA-3A-A9I5-01A-11R-A38C-07","TCGA-3A-A9I5",11.2332140384681,2,"Classical-like",11.2043363275436,"High"
"TCGA-FB-AAQ0-01A-31R-A41B-07","TCGA-FB-AAQ0",11.6137556575719,2,"Classical-like",11.2043363275436,"High"
"TCGA-3E-AAAZ-01A-11R-A38C-07","TCGA-3E-AAAZ",11.4227207953691,2,"Classical-like",11.2043363275436,"High"
"TCGA-3E-AAAY-01A-11R-A38C-07","TCGA-3E-AAAY",11.0960955999448,2,"Classical-like",11.2043363275436,"Low"
